Fecha;lluvia
1/1/2009;3,758064516
2/1/2009;4,235714286
3/1/2009;4,764516129
4/1/2009;5,4
5/1/2009;4,438709677
6/1/2009;6,963333333
7/1/2009;6,138709677
8/1/2009;5,325806452
9/1/2009;3,293333333
10/1/2009;5,483870968
11/1/2009;4,116666667
12/1/2009;2,977419355
1/1/2010;1,848387097
2/1/2010;2,953571429
3/1/2010;4,825806452
4/1/2010;7,08
5/1/2010;7,751612903
6/1/2010;7,173333333
7/1/2010;7,732258065
8/1/2010;5,187096774
9/1/2010;5,933333333
10/1/2010;6,270967742
11/1/2010;7,293333333
12/1/2010;6,119354839
1/1/2011;3,34516129
2/1/2011;3,925
3/1/2011;4,938709677
4/1/2011;8,213333333
5/1/2011;8,593548387
6/1/2011;6,97
7/1/2011;6,935483871
8/1/2011;4,332258065
9/1/2011;5,69
10/1/2011;6,038709677
11/1/2011;7,753333333
12/1/2011;7,019354839
1/1/2012;3,864516129
2/1/2012;4,213793103
3/1/2012;7,141935484
4/1/2012;8,773333333
5/1/2012;7,935483871
6/1/2012;6,24
7/1/2012;6,825806452
8/1/2012;5,629032258
9/1/2012;4,396666667
10/1/2012;6,509677419
11/1/2012;5,106666667
12/1/2012;4,077419355
1/1/2013;2,416129032
2/1/2013;6,010714286
3/1/2013;5,1
4/1/2013;7,89
5/1/2013;9,380645161
6/1/2013;6,636666667
7/1/2013;6,887096774
8/1/2013;6,270967742
9/1/2013;5,406666667
10/1/2013;5,4
11/1/2013;6,746666667
12/1/2013;3,877419355
1/1/2014;2,935483871
2/1/2014;4,367857143
3/1/2014;3,570967742
4/1/2014;6,923333333
5/1/2014;7,490322581
6/1/2014;8,556666667
7/1/2014;6,925806452
8/1/2014;4,532258065
9/1/2014;5,12
10/1/2014;7,122580645
11/1/2014;6,03
12/1/2014;5,474193548
1/1/2015;4,358064516
2/1/2015;3,867857143
3/1/2015;5,751612903
4/1/2015;6,846666667
5/1/2015;6,467741935
6/1/2015;7,126666667
7/1/2015;6,848387097
8/1/2015;5,193548387
9/1/2015;3,81
10/1/2015;5,729032258
11/1/2015;5,996666667
12/1/2015;2,996774194
1/1/2016;1,416129032
2/1/2016;2,968965517
3/1/2016;4,348387097
4/1/2016;8,68
5/1/2016;8,638709677
6/1/2016;6,916666667
7/1/2016;6,367741935
8/1/2016;6,332258065
9/1/2016;5,656666667
10/1/2016;6,722580645
11/1/2016;7,236666667
12/1/2016;5,209677419
1/1/2017;3,812903226
2/1/2017;3,396428571
3/1/2017;7,490322581
4/1/2017;5,96
5/1/2017;8,635483871
6/1/2017;7,656666667
7/1/2017;6,841935484
8/1/2017;6,148387097
9/1/2017;6,216666667
10/1/2017;7,032258065
11/1/2017;6,53
12/1/2017;3,477419355
1/1/2018;4,2
2/1/2018;2,003571429
3/1/2018;4,629032258
4/1/2018;7,066666667
5/1/2018;9,548387097
6/1/2018;8,283333333
7/1/2018;7,009677419
8/1/2018;5,548387097
9/1/2018;6,49
10/1/2018;6,890322581
11/1/2018;6,276666667
12/1/2018;3,667741935
1/1/2019;3,058064516
2/1/2019;2,964285714
3/1/2019;4,119354839
4/1/2019;7,843333333
5/1/2019;9,641935484
6/1/2019;8,026666667
7/1/2019;6,629032258
8/1/2019;5,35483871
9/1/2019;5,68
10/1/2019;7,583870968
11/1/2019;6,85
12/1/2019;4,713636364
